Summary level,Program label,Program,Sub-program,Name,Id2,hcv_sub_units,% Occupied,# Reported,% Reported,Average months since report,% moved in past year,Number of people per unit,Number of people: total,Average Family Expenditure per month ($$),Average HUD Expenditure per month ($$),hcv_annhhinc,Household income per year per person,"% $1 - $4,999","% $5,000 - $9,999","% $10,000 - $14,999","% $15,000 - $19,999","% $20,000 or more",% Households where wages are major source of income,% Households where welfare is major source of income,% Households with other major sources of income,% of local median (Household income),hcv_pct_vli,hcv_pct_eli,% 2+ adults with children,% 1 adult with children,% female head,% female head with children,"% with disability, among Head, Spouse, Co-head, aged 61 years or less","% with disability, among Head, Spouse, Co-head, aged 62 years or older","% with disability, among all persons in households",% 24 years or less (Head or spouse),% 25 to 49 years (Head or spouse),% 51 to 60 (Head or spouse),% 62 or more (Head or spouse),% 85 or more (Head or spouse),hcv_pctmin,%Black Non-Hispanic,%Native American Non-Hispanic,%Asian or Pacific Islander Non-Hispanic,%White Non-Hispanic, %Black Hispanic,%White Hispanic,%Other Hispanic,% Hispanic,% Multiple Race,Average months on waiting list,Average months since moved in,% with utility allowance,Average utility allowance $$,% 0 - 1 bedrooms:,% 2 bedrooms,% 3+ bedrooms,% Overhoused,% in poverty (Census tract),% minority (Census tract),% single family owners (Census tract),Congressional District,CBSA,PLACE,Latitude,Longitude,State,PHA Total Units,HA category
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 031101,42001031101,39,78,30,99,3,13,1.5,46,388,442,12989,8471,3,33,40,13,10,10,-1,90,23,100,87,10,10,73,10,72,67,54,-1,20,43,37,3,7,3,-1,-1,93,-1,3,-1,3,0,18,100,90,139,60,37,3,13,7,7,54,NA,23900,46376,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 031102,42001031102,17,78,13,99,6,-1,1,13,340,442,12869,12869,-1,31,38,23,8,8,-1,92,25,100,69,-1,-1,77,-1,100,67,92,-1,15,62,23,-1,8,-1,8,-1,92,-1,-1,-1,0,8,-1,82,-1,-1,100,-1,-1,-1,1,5,86,NA,23900,99999,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 031201,42001031201,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,23900,40981,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 031203,42001031203,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,23900,99999,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 031300,42001031300,44,78,34,99,4,6,2.4,80,409,442,17027,7237,12,15,24,9,41,32,3,62,28,97,56,3,41,88,38,57,83,30,-1,59,24,18,-1,24,12,3,-1,76,-1,9,-1,9,3,26,87,94,143,53,18,29,-1,9,5,56,NA,23900,43944,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 031401,42001031401,61,78,47,99,5,2,1.9,88,340,442,14122,7543,11,24,24,26,15,30,6,62,25,96,72,-1,36,72,30,55,78,38,4,49,28,19,2,32,21,-1,-1,68,-1,11,-1,11,2,8,88,83,140,40,51,9,11,14,11,69,NA,23900,99999,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 031402,42001031402,22,78,19,100,6,26,2.2,41,394,442,16715,7746,-1,32,32,-1,37,63,-1,37,28,95,68,-1,53,84,53,44,-1,22,-1,74,21,5,-1,26,11,-1,-1,74,-1,16,-1,16,0,8,60,100,145,32,53,16,5,7,6,80,NA,23900,XXXXX,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 031501,42001031501,14,78,11,99,5,18,2,22,332,442,12439,6220,18,27,36,9,9,18,9,73,21,91,82,-1,36,73,36,60,100,32,-1,64,27,9,-1,18,18,-1,-1,82,-1,-1,-1,0,0,18,74,91,163,55,18,27,9,30,11,53,NA,23900,28960,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 031502,42001031502,145,78,113,99,4,7,2.4,272,417,442,16544,6873,5,22,18,20,35,43,3,51,27,98,56,8,42,80,42,30,76,21,1,53,20,26,2,38,25,-1,-1,62,2,12,-1,13,1,13,75,99,137,35,42,23,6,23,27,31,NA,23900,XXXXX,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 031600,42001031600,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,23900,11472,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 031700,42001031700,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,23900,24560,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Adams County 999999,42001999999,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,23900,XXXXX,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 010300,42003010300,76,76,57,99,11,14,1.4,82,307,537,12261,8523,-1,47,21,19,13,21,-1,72,23,96,72,-1,21,74,21,72,71,54,4,39,46,12,-1,89,89,-1,-1,11,-1,-1,-1,0,0,-1,101,25,147,72,25,4,5,35,35,11,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 020100,42003020100,134,76,101,99,11,16,1,101,241,537,9549,9549,14,51,17,12,6,13,1,78,19,99,84,-1,-1,38,-1,94,79,90,1,34,42,24,3,67,64,1,2,33,-1,-1,-1,0,0,-1,59,-1,-1,99,1,-1,1,19,27,3,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 020300,42003020300,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 030500,42003030500,338,76,255,99,9,18,1.9,487,377,537,14278,7476,8,32,23,11,26,39,2,54,25,94,69,0,46,91,45,31,74,26,7,53,18,21,2,99,98,0,-1,1,-1,-1,0,0,0,-1,95,100,117,41,45,14,5,36,87,20,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 040200,42003040200,26,76,20,99,12,5,1.5,30,345,537,13767,9178,10,35,25,10,20,35,-1,65,25,90,70,-1,20,80,20,53,67,37,-1,25,60,15,-1,80,80,-1,-1,20,-1,-1,-1,0,0,-1,107,100,90,65,20,15,5,47,49,28,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 040500,42003040500,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 040600,42003040600,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 040900,42003040900,16,76,12,99,12,-1,2.1,25,370,537,14466,6943,8,25,33,8,25,33,-1,67,25,92,83,-1,50,67,42,44,67,32,8,58,8,25,-1,75,75,-1,-1,25,-1,-1,-1,0,0,-1,124,100,172,42,42,17,8,55,33,27,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 050100,42003050100,175,76,132,99,9,22,2,259,338,537,12691,6468,16,35,21,12,17,38,5,52,22,95,79,1,40,83,39,24,76,25,6,52,17,25,1,99,99,-1,-1,1,-1,-1,-1,0,0,-1,87,86,136,44,37,19,3,36,96,30,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 050600,42003050600,64,76,48,99,12,6,2.3,110,351,537,12415,5417,28,30,13,6,23,23,10,65,21,92,71,2,46,85,42,35,100,22,-1,58,31,10,2,98,96,-1,-1,2,-1,2,-1,2,0,-1,121,96,173,38,29,33,6,22,82,41,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 050900,42003050900,127,76,96,99,10,8,1.5,143,321,537,12484,8381,8,37,26,18,12,19,3,75,23,97,74,-1,25,76,25,53,73,45,-1,30,23,47,5,99,98,1,-1,1,-1,-1,-1,0,0,-1,93,71,113,68,27,5,-1,68,97,11,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 051000,42003051000,77,76,58,99,9,3,1.6,92,306,537,12147,7658,9,42,23,11,16,19,3,76,22,98,78,-1,28,59,26,43,64,40,-1,33,19,48,2,97,95,-1,-1,3,2,-1,-1,2,0,-1,86,47,120,64,26,10,3,54,58,11,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 051100,42003051100,199,76,150,99,10,1,2.8,416,417,537,18145,6543,12,22,16,15,35,50,7,41,29,85,62,2,76,95,75,12,63,15,9,67,11,13,1,97,96,1,-1,3,1,-1,-1,1,0,-1,33,100,134,4,49,47,3,37,100,5,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 060300,42003060300,72,76,54,99,11,2,1.6,88,356,537,11699,7179,14,33,22,18,14,22,2,70,21,98,76,-1,30,74,30,47,100,38,2,39,39,20,-1,65,65,-1,-1,35,-1,-1,-1,0,0,-1,130,100,119,65,22,13,7,18,30,21,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 060500,42003060500,12,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 070600,42003070600,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 070800,42003070800,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,38300,XXXXX,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 080200,42003080200,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 080400,42003080400,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 080600,42003080600,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 080700,42003080700,23,76,17,99,14,-1,1.2,20,250,537,9878,8397,13,38,31,19,-1,12,6,76,19,100,82,-1,6,47,6,73,67,65,-1,47,18,35,-1,59,53,-1,6,41,-1,-1,-1,0,0,-1,113,82,76,88,12,-1,-1,25,39,12,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 080900,42003080900,38,76,29,99,15,3,1.4,42,304,537,12783,8826,7,38,31,14,10,14,-1,86,23,100,76,-1,14,59,14,78,91,60,-1,28,34,38,-1,93,90,3,-1,7,-1,-1,-1,0,0,-1,122,21,132,83,7,10,3,16,25,19,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 090100,42003090100,16,76,12,99,10,-1,2,24,336,537,11592,5796,-1,55,18,-1,27,8,17,67,20,100,75,-1,33,75,33,56,67,38,-1,50,25,25,-1,33,33,-1,-1,67,-1,-1,-1,0,0,-1,139,92,145,42,50,8,-1,14,17,15,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 090200,42003090200,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 090300,42003090300,33,76,25,99,13,4,1.5,37,311,537,11302,7636,8,54,17,13,8,12,-1,84,21,96,80,-1,20,80,20,73,100,59,-1,32,56,12,4,32,28,-1,4,68,-1,-1,-1,0,0,-1,143,88,150,60,32,8,4,15,19,26,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 100500,42003100500,49,76,37,99,11,8,2.5,92,385,537,14292,5748,18,26,15,12,29,38,3,51,23,95,68,3,70,89,73,19,50,13,5,65,14,16,-1,97,95,-1,-1,3,3,-1,-1,3,0,-1,120,100,170,19,54,27,5,19,71,57,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 101100,42003101100,28,76,21,99,12,-1,2.6,55,373,537,12601,4811,26,26,5,16,26,29,14,48,19,100,76,-1,67,100,67,33,-1,16,-1,90,10,-1,-1,71,71,-1,-1,29,-1,-1,-1,0,0,-1,126,95,202,29,24,48,5,15,35,27,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 101400,42003101400,19,76,14,99,8,-1,1.9,27,368,537,13171,6830,29,21,29,-1,21,29,7,64,23,86,79,-1,57,93,57,18,100,26,14,43,21,21,-1,71,64,-1,-1,29,7,-1,-1,7,0,-1,142,100,168,43,43,14,7,11,21,51,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 101600,42003101600,64,76,48,99,11,2,3,146,324,537,13274,4364,13,30,23,13,21,42,2,54,21,96,77,2,83,94,81,32,100,19,2,81,15,2,-1,96,96,-1,-1,4,-1,-1,-1,0,0,-1,117,100,157,2,48,50,2,45,94,44,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 101700,42003101700,97,76,73,99,10,4,2.7,194,399,537,14994,5642,18,24,15,14,28,36,10,52,24,92,67,1,67,96,67,29,100,22,1,70,23,5,-1,99,99,-1,-1,1,-1,-1,-1,0,0,-1,133,100,161,21,41,38,7,42,81,47,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 101800,42003101800,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 110200,42003110200,53,76,40,99,14,-1,1.9,74,316,537,12664,6845,10,33,21,23,13,23,5,70,23,98,73,-1,35,68,30,47,100,34,3,50,28,20,-1,85,85,-1,-1,15,-1,-1,-1,0,0,-1,136,95,109,63,25,13,3,12,39,28,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 110600,42003110600,33,76,25,99,14,-1,2.3,57,506,537,17734,7778,8,25,13,13,42,52,-1,44,30,80,48,8,48,92,56,30,100,25,4,64,24,8,-1,92,84,4,-1,8,-1,4,-1,4,0,-1,132,84,159,28,48,24,-1,12,29,59,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 111300,42003111300,184,76,139,99,11,5,1.7,230,285,537,10894,6584,14,44,19,13,10,26,4,64,20,99,84,1,28,81,27,42,83,35,2,44,32,22,1,94,91,1,1,6,1,-1,-1,1,0,-1,127,93,111,56,29,15,8,17,75,18,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 111400,42003111400,62,76,47,99,10,-1,2.3,108,340,537,12405,5398,20,37,15,9,20,30,11,57,20,96,77,2,53,89,55,19,90,22,6,60,13,21,-1,96,96,-1,-1,4,-1,-1,-1,0,0,-1,120,100,133,34,43,23,6,33,88,46,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 111500,42003111500,339,76,256,99,12,3,1.7,431,315,537,12752,7575,9,42,22,12,15,27,4,68,23,98,76,0,32,79,31,48,82,40,4,41,30,25,2,95,95,-1,-1,5,0,-1,-1,0,0,-1,113,89,121,54,34,13,7,29,76,4,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 120300,42003120300,187,76,141,99,9,4,2.2,314,340,537,12737,5719,17,34,17,9,23,45,8,42,21,95,76,-1,55,95,52,25,80,20,5,62,23,11,-1,99,97,-1,-1,1,2,-1,-1,2,0,-1,114,84,180,26,44,30,7,27,98,67,NA,38300,61000,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 120400,42003120400,95,76,72,99,10,3,2,144,314,537,11745,5873,14,38,14,18,15,35,10,46,21,94,72,-1,47,89,47,30,78,21,11,54,22,13,-1,99,97,1,-1,1,-1,-1,-1,0,0,-1,105,96,131,40,38,22,8,44,96,46,NA,38300,XXXXX,NA,NA,PA,NA,NA
7,Housing Choice Vouchers,3,NA,PA Pennsylvania Allegheny County 120700,42003120700,32,76,24,99,9,8,2.2,53,384,537,13548,6135,9,45,14,5,27,25,-1,67,22,96,75,-1,38,83,38,52,100,32,-1,58,38,4,-1,100,96,4,-1,-1,-1,-1,-1,0,0,-1,105,96,199,42,13,46,8,17,98,40,NA,38300,61000,NA,NA,PA,NA,NA
